FLIGHT_DATE,AIRLINE,FLIGHT_NUMBER,ORIGIN_AIRPORT,DESTINATION_AIRPORT,SCHEDULED_DEPARTURE,DEPARTURE_TIME,DEPARTURE_DELAY,TAXI_OUT,WHEELS_OFF,SCHEDULED_TIME,ELAPSED_TIME,AIR_TIME,DISTANCE,WHEELS_ON,TAXI_IN,SCHEDULED_ARRIVAL,ARRIVAL_TIME,ARRIVAL_DELAY,DIVERTED,CANCELLED,CANCELLATION_REASON,AIR_SYSTEM_DELAY,SECURITY_DELAY,AIRLINE_DELAY,LATE_AIRCRAFT_DELAY,WEATHER_DELAY
1/2/15,DL,2359,CVG,RSW,7:31:00 AM,7:26:00 AM,-5,10,7:36:00 AM,153,139,124,879,9:40:00 AM,5,10:04:00 AM,9:45:00 AM,-19,0,0,,,,,,
1/2/15,F9,1292,CVG,MCO,7:35:00 AM,7:22:00 AM,-13,9,7:31:00 AM,130,148,129,757,9:40:00 AM,10,9:45:00 AM,9:50:00 AM,5,0,0,,,,,,
1/2/15,MQ,2759,ORD,CVG,7:35:00 AM,7:31:00 AM,-4,55,8:26:00 AM,73,100,40,265,1:06:00 AM,5,9:48:00 AM,10:11:00 AM,23,0,0,,23,0,0,0,0
1/2/15,MQ,3069,CVG,ORD,7:35:00 AM,7:30:00 AM,-5,14,7:44:00 AM,90,107,52,265,7:36:00 AM,41,8:05:00 AM,8:17:00 AM,12,0,0,,,,,,
1/2/15,EV,4357,IAH,CVG,7:37:00 AM,7:44:00 AM,7,35,8:19:00 AM,143,144,104,871,1:03:00 AM,5,11:00:00 AM,11:08:00 AM,8,0,0,,,,,,
1/2/15,OO,4557,MSP,CVG,7:45:00 AM,7:41:00 AM,-4,23,8:04:00 AM,128,107,78,596,1:22:00 AM,6,10:53:00 AM,10:28:00 AM,-25,0,0,,,,,,
1/2/15,MQ,3429,CVG,DFW,8:20:00 AM,8:23:00 AM,3,19,8:42:00 AM,170,183,145,812,1:07:00 AM,19,10:10:00 AM,10:26:00 AM,16,0,0,,16,0,0,0,0
1/2/15,DL,1741,CVG,SLC,8:25:00 AM,8:25:00 AM,0,11,8:36:00 AM,245,234,213,1450,1:09:00 AM,10,10:30:00 AM,10:19:00 AM,-11,0,0,,,,,,
1/2/15,F9,1309,CVG,IAD,8:30:00 AM,8:38:00 AM,8,11,8:49:00 AM,85,71,53,388,9:42:00 AM,7,9:55:00 AM,9:49:00 AM,-6,0,0,,,,,,
1/2/15,MQ,2969,CVG,ORD,8:30:00 AM,8:25:00 AM,-5,21,8:46:00 AM,90,120,51,265,8:37:00 AM,48,9:00:00 AM,9:25:00 AM,25,0,0,,25,0,0,0,0
1/2/15,OO,4458,MKE,CVG,8:30:00 AM,8:24:00 AM,-6,10,8:34:00 AM,82,72,57,318,1:31:00 AM,5,10:52:00 AM,10:36:00 AM,-16,0,0,,,,,,
1/2/15,DL,1221,CVG,SEA,8:40:00 AM,8:45:00 AM,5,9,8:54:00 AM,306,281,268,1965,1:22:00 AM,4,10:46:00 AM,10:26:00 AM,-20,0,0,,,,,,
1/2/15,EV,4523,CVG,IAH,8:54:00 AM,8:48:00 AM,-6,8,8:56:00 AM,171,179,157,871,1:33:00 AM,14,10:45:00 AM,10:47:00 AM,2,0,0,,,,,,
1/2/15,MQ,3128,ORD,CVG,8:55:00 AM,8:55:00 AM,0,,,73,,,265,,,11:08:00 AM,,,0,1,A,,,,,
1/2/15,DL,2011,ATL,CVG,9:05:00 AM,9:05:00 AM,0,18,9:23:00 AM,85,80,58,373,1:21:00 AM,4,10:30:00 AM,10:25:00 AM,-5,0,0,,,,,,
1/2/15,EV,6109,ORD,CVG,9:10:00 AM,9:33:00 AM,23,15,9:48:00 AM,71,60,40,265,1:28:00 AM,5,11:21:00 AM,11:33:00 AM,12,0,0,,,,,,
1/2/15,EV,6179,CVG,DEN,9:10:00 AM,9:04:00 AM,-6,20,9:24:00 AM,200,227,175,1069,1:19:00 AM,32,10:30:00 AM,10:51:00 AM,21,0,0,,21,0,0,0,0
